mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
08,16,1,0,0,0,0,0,0,0,0,0,0
08,17,7,0,0,0,0,0,0,0,0,0,0
08,18,1,0,0,0,0,0,0,0,0,0,0
08,19,4,0,0,0,0,0,0,0,0,0,0
08,20,7,0,0,0,0,0,0,0,0,0,0
08,21,5,0,0,0,0,0,0,0,0,0,0
08,22,2,0,0,0,0,0,0,0,0,0,0
08,23,2,0,0,0,0,0,0,0,0,0,0
08,24,3,0,0,0,0,0,0,0,0,0,0
08,25,2,0,0,0,0,0,0,0,0,0,0
08,26,2,0,0,0,0,0,0,0,0,0,0
08,27,1,0,0,0,0,0,0,0,0,0,0
08,29,2,0,0,0,0,0,0,0,0,0,0
08,30,1,0,0,0,0,0,0,0,0,0,0
08,33,2,0,0,0,0,0,0,0,0,0,0
08,38,1,0,0,0,0,0,0,0,0,0,0
08,41,1,0,0,0,0,0,0,0,0,0,0
09,1,23,0,0,0,0,0,0,0,0,0,0
09,2,22,0,0,0,0,0,0,0,0,0,0
09,3,21,0,0,0,0,0,0,0,0,0,0
09,4,19,0,0,0,0,0,0,0,0,0,0
09,5,18,0,0,0,0,0,0,0,0,0,0
09,6,18,0,0,0,0,0,0,0,0,0,0
09,7,18,0,0,0,0,0,0,0,0,0,0
09,8,12,0,0,0,0,0,0,0,0,0,0
09,9,16,0,0,0,0,0,0,0,0,0,0
09,10,19,0,0,0,0,0,0,0,0,0,0
09,11,8,0,0,0,0,0,0,0,0,0,0
09,12,5,0,0,0,0,0,0,0,0,0,0
09,13,10,0,0,0,0,0,0,0,0,0,0
09,14,5,0,0,0,0,0,0,0,0,0,0
09,15,2,0,0,0,0,0,0,0,0,0,0
09,16,3,0,0,0,0,0,0,0,0,0,0
09,17,5,0,0,0,0,0,0,0,0,0,0
09,18,5,0,0,0,0,0,0,0,0,0,0
09,19,4,0,0,0,0,0,0,0,0,0,0
09,20,2,0,0,0,0,0,0,0,0,0,0
09,21,3,0,0,0,0,0,0,0,0,0,0
09,22,3,0,0,0,0,0,0,0,0,0,0
09,23,3,0,0,0,0,0,0,0,0,0,0
09,24,1,0,0,0,0,0,0,0,0,0,0
09,25,1,0,0,0,0,0,0,0,0,0,0
09,26,1,0,0,0,0,0,0,0,0,0,0
09,28,1,0,0,0,0,0,0,0,0,0,0
09,29,1,0,0,0,0,0,0,0,0,0,0
09,32,1,0,0,0,0,0,0,0,0,0,0
09,35,1,0,0,0,0,0,0,0,0,0,0
10,1,17,0,0,0,0,0,0,0,0,0,0
10,2,26,0,0,0,0,0,0,0,0,0,0
10,3,29,0,0,0,0,0,0,0,0,0,0
10,4,27,0,0,0,0,0,0,0,0,0,0
10,5,17,0,0,0,0,0,0,0,0,0,0
10,6,16,0,0,0,0,0,0,0,0,0,0
10,7,16,0,0,0,0,0,0,0,0,0,0
10,8,16,0,0,0,0,0,0,0,0,0,0
10,9,11,0,0,0,0,0,0,0,0,0,0
10,10,12,0,0,0,0,0,0,0,0,0,0
10,11,8,0,0,0,0,0,0,0,0,0,0
10,12,5,0,0,0,0,0,0,0,0,0,0
10,13,4,0,0,0,0,0,0,0,0,0,0
10,14,7,0,0,0,0,0,0,0,0,0,0
10,15,7,0,0,0,0,0,0,0,0,0,0
10,16,8,0,0,0,0,0,0,0,0,0,0
10,17,6,0,0,0,0,0,0,0,0,0,0
10,18,7,0,0,0,0,0,0,0,0,0,0
10,19,3,0,0,0,0,0,0,0,0,0,0
10,20,3,0,0,0,0,0,0,0,0,0,0
10,21,1,0,0,0,0,0,0,0,0,0,0
10,22,2,0,0,0,0,0,0,0,0,0,0
10,23,3,0,0,0,0,0,0,0,0,0,0
10,24,1,0,0,0,0,0,0,0,0,0,0
10,25,2,0,0,0,0,0,0,0,0,0,0
10,26,1,0,0,0,0,0,0,0,0,0,0
10,27,1,0,0,0,0,0,0,0,0,0,0
10,28,2,0,0,0,0,0,0,0,0,0,0
10,29,1,0,0,0,0,0,0,0,0,0,0
10,31,1,0,0,0,0,0,0,0,0,0,0
11,1,23,0,0,0,0,0,0,0,0,0,0
